"country","region","party","wiki_lang","wiki_title","logo_slug","official_domain","manual_logo_filename","manual_logo_url_override","manual_logo_url","manual_source_kind","logo_file","source_kind","source_url","wikidata_id","wikidata_logo_filename","status"
"Netherlands","Netherlands","BBB","en","BoerBurgerBeweging","netherlands_netherlands_bbb","boerburgerbeweging.nl",,,,,"netherlands_netherlands_bbb.svg",,,,,"exists"
"Netherlands","Netherlands","CDA","en","Christian Democratic Appeal","netherlands_netherlands_cda","cda.nl",,,,,"netherlands_netherlands_cda.svg",,,,,"exists"
"Netherlands","Netherlands","CU","en","Christian Union (Netherlands)","netherlands_netherlands_cu","christenunie.nl",,,,,"netherlands_netherlands_cu.png",,,,,"exists"
"Netherlands","Netherlands","D66","en","Democrats 66","netherlands_netherlands_d66","d66.nl",,,,,"netherlands_netherlands_d66.svg",,,,,"exists"
"Netherlands","Netherlands","Denk","en","DENK (political party)","netherlands_netherlands_denk","bewegingdenk.nl",,,,,"netherlands_netherlands_denk.svg",,,,,"exists"
"Netherlands","Netherlands","FvD","en","Forum for Democracy","netherlands_netherlands_fvd","fvd.nl",,,,,"netherlands_netherlands_fvd.svg",,,,,"exists"
"Netherlands","Netherlands","GL","en","GroenLinks","netherlands_netherlands_gl","groenlinks.nl",,,,,"netherlands_netherlands_gl.svg",,,,,"exists"
"Netherlands","Netherlands","JA21","en","JA21","netherlands_netherlands_ja21","ja21.nl",,,,,"netherlands_netherlands_ja21.svg",,,,,"exists"
"Netherlands","Netherlands","NSC","en","New Social Contract","netherlands_netherlands_nsc","partijnieuwsociaalcontract.nl",,,,,"netherlands_netherlands_nsc.svg",,,,,"exists"
"Netherlands","Netherlands","PvdA","en","Labour Party (Netherlands)","netherlands_netherlands_pvda","pvda.nl",,,,,"netherlands_netherlands_pvda.svg",,,,,"exists"
"Netherlands","Netherlands","PvdD","en","Party for the Animals","netherlands_netherlands_pvdd","partijvoordedieren.nl",,,,,"netherlands_netherlands_pvdd.svg",,,,,"exists"
"Netherlands","Netherlands","PVV","en","Party for Freedom","netherlands_netherlands_pvv","pvv.nl",,,,,"netherlands_netherlands_pvv.svg",,,,,"exists"
"Netherlands","Netherlands","SGP","en","Reformed Political Party","netherlands_netherlands_sgp","sgp.nl",,,,,"netherlands_netherlands_sgp.png",,,,,"exists"
"Netherlands","Netherlands","SP","en","Socialist Party (Netherlands)","netherlands_netherlands_sp","sp.nl",,,,,"netherlands_netherlands_sp.png",,,,,"exists"
"Netherlands","Netherlands","Volt","en","Volt Netherlands","netherlands_netherlands_volt","voltnederland.org",,,,,"netherlands_netherlands_volt.png",,,,,"exists"
"Netherlands","Netherlands","VVD","en","People's Party for Freedom and Democracy","netherlands_netherlands_vvd","vvd.nl",,,,,"netherlands_netherlands_vvd.png",,,,,"exists"
"Switzerland","Switzerland","SVP","en","Swiss People's Party","switzerland_switzerland_svp","svp.ch","SVP UDC Logo.svg",,"https://commons.wikimedia.org/wiki/Special:Redirect/file/SVP%20UDC%20Logo.svg","manual_commons_logo","switzerland_switzerland_svp.svg","manual_commons_logo","https://commons.wikimedia.org/wiki/Special:Redirect/file/SVP%20UDC%20Logo.svg",,"SVP UDC Logo.svg","exists"
"Switzerland","Switzerland","SP","en","Social Democratic Party of Switzerland","switzerland_switzerland_sp","sp-ps.ch","2022 logo of the Social Democratic Party of Switzerland.svg",,"https://commons.wikimedia.org/wiki/Special:Redirect/file/2022%20logo%20of%20the%20Social%20Democratic%20Party%20of%20Switzerland.svg","manual_commons_logo","switzerland_switzerland_sp.svg","manual_commons_logo","https://commons.wikimedia.org/wiki/Special:Redirect/file/2022%20logo%20of%20the%20Social%20Democratic%20Party%20of%20Switzerland.svg",,"2022 logo of the Social Democratic Party of Switzerland.svg","exists"
"Switzerland","Switzerland","FDP","en","FDP.The Liberals","switzerland_switzerland_fdp","fdp.ch",,,,,"switzerland_switzerland_fdp.png",,,,,"exists"
"Switzerland","Switzerland","The Centre","en","The Centre (political party)","switzerland_switzerland_the_centre","die-mitte.ch","DieMitte-logo.svg",,"https://commons.wikimedia.org/wiki/Special:Redirect/file/DieMitte-logo.svg","manual_commons_logo","switzerland_switzerland_the_centre.svg","manual_commons_logo","https://commons.wikimedia.org/wiki/Special:Redirect/file/DieMitte-logo.svg",,"DieMitte-logo.svg","exists"
"Switzerland","Switzerland","GPS","en","Green Party of Switzerland","switzerland_switzerland_gps","gruene.ch",,,,,"switzerland_switzerland_gps.png",,,,,"exists"
"Switzerland","Switzerland","GLP","en","Green Liberal Party of Switzerland","switzerland_switzerland_glp","grunliberale.ch","Logo Grünliberale Partei.svg",,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Logo%20Gr%C3%BCnliberale%20Partei.svg","manual_commons_logo","switzerland_switzerland_glp.svg","manual_commons_logo","https://commons.wikimedia.org/wiki/Special:Redirect/file/Logo%20Gr%C3%BCnliberale%20Partei.svg",,"Logo Grünliberale Partei.svg","exists"
"Switzerland","Switzerland","EVP","en","Evangelical People's Party of Switzerland","switzerland_switzerland_evp","evppev.ch","EVP Logo Deutsch 300dpi.jpg",,"https://commons.wikimedia.org/wiki/Special:Redirect/file/EVP%20Logo%20Deutsch%20300dpi.jpg","manual_commons_logo","switzerland_switzerland_evp.jpg","manual_commons_logo","https://commons.wikimedia.org/wiki/Special:Redirect/file/EVP%20Logo%20Deutsch%20300dpi.jpg",,"EVP Logo Deutsch 300dpi.jpg","exists"
"Switzerland","Switzerland","EDU","en","Federal Democratic Union of Switzerland","switzerland_switzerland_edu","edu-schweiz.ch","Logo EDU UDF.svg",,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Logo%20EDU%20UDF.svg","manual_commons_logo","switzerland_switzerland_edu.svg","manual_commons_logo","https://commons.wikimedia.org/wiki/Special:Redirect/file/Logo%20EDU%20UDF.svg",,"Logo EDU UDF.svg","exists"
"Switzerland","Switzerland","LdT","en","Ticino League","switzerland_switzerland_ldt","legaticinesi.ch","Logo_LEGA_Rosso_sm.svg","https://lega-dei-ticinesi.ch/wp-content/uploads/2021/12/Logo_LEGA_Rosso_sm.svg","https://lega-dei-ticinesi.ch/wp-content/uploads/2021/12/Logo_LEGA_Rosso_sm.svg","manual_official_logo","switzerland_switzerland_ldt.svg","manual_official_logo","https://lega-dei-ticinesi.ch/wp-content/uploads/2021/12/Logo_LEGA_Rosso_sm.svg",,"Logo_LEGA_Rosso_sm.svg","exists"
"Switzerland","Switzerland","MCG","en","Geneva Citizens' Movement","switzerland_switzerland_mcg","mcge.ch",,,,,"switzerland_switzerland_mcg.png",,,,,"exists"
"Belgium","Wallonia","DéFi","en","DéFI","belgium_wallonia_d_efi","defi.eu",,,,,"belgium_wallonia_d_efi.png",,,,,"exists"
"Belgium","Wallonia","Ecolo","en","Ecolo","belgium_wallonia_ecolo","ecolo.be","Ecolo Logo.svg",,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Ecolo%20Logo.svg","manual_commons_logo","belgium_wallonia_ecolo.svg","manual_commons_logo","https://commons.wikimedia.org/wiki/Special:Redirect/file/Ecolo%20Logo.svg",,"Ecolo Logo.svg","exists"
"Belgium","Wallonia","LE","en","Les Engagés","belgium_wallonia_le","lesengages.be","Logo les Engagés 2022.svg",,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Logo%20les%20Engag%C3%A9s%202022.svg","manual_commons_logo","belgium_wallonia_le.svg","manual_commons_logo","https://commons.wikimedia.org/wiki/Special:Redirect/file/Logo%20les%20Engag%C3%A9s%202022.svg",,"Logo les Engagés 2022.svg","exists"
"Belgium","Wallonia","MR","en","Reformist Movement","belgium_wallonia_mr","mr.be",,,,,"belgium_wallonia_mr.png",,,,,"exists"
"Belgium","Wallonia","PS","en","Socialist Party (Belgium)","belgium_wallonia_ps","ps.be","Socialist Party (Belgium) logo.svg",,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Socialist%20Party%20%28Belgium%29%20logo.svg","manual_commons_logo","belgium_wallonia_ps.svg","manual_commons_logo","https://commons.wikimedia.org/wiki/Special:Redirect/file/Socialist%20Party%20%28Belgium%29%20logo.svg",,"Socialist Party (Belgium) logo.svg","exists"
"Belgium","Wallonia","PTB-PVDA","en","Workers' Party of Belgium","belgium_wallonia_ptb_pvda","ptb.be",,,,,"belgium_wallonia_ptb_pvda.png",,,,,"exists"
"Belgium","Flanders","CD&V","en","Christian Democratic and Flemish","belgium_flanders_cd_v","cdenv.be","Logo of the Christian Democratic and Flemish (2022).svg",,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Logo%20of%20the%20Christian%20Democratic%20and%20Flemish%20%282022%29.svg","manual_commons_logo","belgium_flanders_cd_v.svg","manual_commons_logo","https://commons.wikimedia.org/wiki/Special:Redirect/file/Logo%20of%20the%20Christian%20Democratic%20and%20Flemish%20%282022%29.svg",,"Logo of the Christian Democratic and Flemish (2022).svg","exists"
"Belgium","Flanders","Groen","en","Groen (political party)","belgium_flanders_groen","groen.be","Groen logo 2022.svg",,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Groen%20logo%202022.svg","manual_commons_logo","belgium_flanders_groen.svg","manual_commons_logo","https://commons.wikimedia.org/wiki/Special:Redirect/file/Groen%20logo%202022.svg",,"Groen logo 2022.svg","exists"
